numero_guia;id_clinica;created_at;id_pet;id_plano;observacao;id_prestador;id_procedimento;valor_momento;justificativa;laudo;imagem_laudo;autorizacao;tipo_atendimento;status;updated_at
84299;51;2017-08-26;1017140178;12;;0;10105;1.00;;;;;;LIBERADO;
84219;51;2017-08-26;1014620187;11;;0;10100;0.70;;;;;;LIBERADO;
82399;189;2017-08-16;1018270164;10;;178;221002;0.30;;;;;;LIBERADO;
82399;189;2017-08-16;1018270164;10;;178;221003;0.60;;;;;;LIBERADO;
82399;189;2017-08-16;1018270164;10;;178;221001;0.60;;;;;;LIBERADO;
82879;3;2017-08-18;1014580291;10;;84;10312;1.00;;;;;;LIBERADO;
82879;3;2017-08-18;1014580291;10;;84;10811;7.00;;;;;;LIBERADO;
84039;51;2017-08-25;1009700101;2;;0;10100;0.70;;;;;;LIBERADO;
82259;189;2017-08-15;1011370104;2;NAO REALIALIZOU O PROCEDIMENTO;178;10902;5.40;;;;;;RECUSADO;
82359;51;2017-08-16;1011370104;2;;35;10809;5.00;;;;;;LIBERADO;
82349;189;2017-08-15;1016780114;11;;178;10809;6.00;;;;;;LIBERADO;
82329;189;2017-08-15;1016780114;11;NAO REALIALIZOU O PROCEDIMENTO;178;10811;8.00;;;;;;RECUSADO;
82979;189;2017-08-19;1008990130;2;;220;221003;0.60;;;;;;LIBERADO;
84319;51;2017-08-27;1017420111;10;;35;211114;0.10;;;;;;LIBERADO;
84319;51;2017-08-27;1017420111;10;;35;211113;0.25;;;;;;LIBERADO;
84309;51;2017-08-27;1017420111;10;;0;10105;1.00;;;;;;LIBERADO;
84339;197;2017-08-28;1017420111;10;;197;251041;0.40;;;;;;LIBERADO;
82319;189;2017-08-15;1017430176;10;;178;10811;8.00;;;;;;LIBERADO;
83869;197;2017-08-24;1016580107;11;;197;251041;0.40;;;;;;LIBERADO;
82489;197;2017-08-16;1009180514;2;;197;251001;0.16;;;;;;LIBERADO;
82489;197;2017-08-16;1009180514;2;NEGATIVA DE AUTORIZACAO;197;251041;0.40;;;;;;RECUSADO;
82479;189;2017-08-16;1009180514;2;;220;10100;1.00;;;;;;LIBERADO;
83969;197;2017-08-24;1013600298;3;;197;2510110;0.20;;;;;;LIBERADO;
82229;31;2017-08-15;1017290145;11;;31;261084;1.30;;;;;;LIBERADO;
82309;189;2017-08-15;1017330112;10;;178;10811;8.00;;;;;;LIBERADO;
82309;189;2017-08-15;1017330112;10;;178;10808;10.80;;;;;;LIBERADO;
83729;197;2017-08-23;1013010148;6;;197;251041;0.40;;;;;;LIBERADO;
83719;51;2017-08-23;1013010148;6;;0;10100;0.70;;;;;;LIBERADO;
82899;10;2017-08-19;1019510193;15;;39;211114;0.10;;;;;;LIBERADO;
82929;197;2017-08-19;1019510193;15;;197;251041;0.40;;;;;;LIBERADO;
83149;10;2017-08-22;1019510193;15;;39;211113;0.25;;;;;;LIBERADO;
83149;10;2017-08-22;1019510193;15;;39;10811;7.00;;;;;;LIBERADO;
82249;31;2017-08-15;1010210201;6;;31;261084;1.30;;;;;;LIBERADO;
83239;189;2017-08-21;1008760134;6;;220;221001;0.60;;;;;;LIBERADO;
82579;17;2017-08-17;1012950147;6;;17;10809;5.00;;;;;;LIBERADO;
83809;189;2017-08-24;1007590171;7;;220;221001;0.60;;;;;;LIBERADO;
82569;189;2017-08-17;1020590120;18;;178;10101010;0.00;;;;;;LIBERADO;
83949;3;2017-08-24;1012590183;3;;0;10100;0.70;;;;;;LIBERADO;
84199;17;2017-08-26;1011080106;2;;17;10100;0.70;;;;;;LIBERADO;
83379;51;2017-08-22;1014090102;4;;0;211114;0.10;;;;;;LIBERADO;
83409;197;2017-08-22;1014090102;4;;197;251041;0.40;;;;;;LIBERADO;
82549;3;2017-08-16;1012790191;3;;3;211113;0.25;;;;;;LIBERADO;
82539;3;2017-08-16;1012790191;3;;0;10104;0.85;;;;;;LIBERADO;
82269;197;2017-08-15;1011420136;2;;197;251041;0.40;;;;;;LIBERADO;
