id_procedimento;id_plano;observ acoes
221004;1;
221002;1;
221001;1;
251001;1;
211114;1;
211113;1;
99912;1;
10100;1;
10102;1;
211112;1;
10104;1;
10105;1;
221004;2;
221002;2;
221001;2;
251001;2;
251002;2;
211114;2;
211113;2;
10203;2;
10206;2;
10201;2;
10204;2;
10202;2;
10205;2;
10315;2;
10307;2;
10306;2;
10309;2;
10322;2;
10320;2;
10321;2;
10324;2;
10325;2;
10327;2;
10316;2;
10312;2;
10418;2;
10409;2;
10425;2;
10413;2;
10414;2;
10417;2;
10803;2;
10804;2;
10902;2;
10903;2;
10904;2;
11005;2;
11004;2;
11201;2;
11202;2;
11302;2;
11303;2;
11301;2;
11307;2;
20102;2;
20103;2;
20104;2;
99913;2;
251017;2;
251018;2;
251019;2;
251020;2;
251021;2;
251022;2;
251023;2;
251024;2;
251025;2;
251027;2;
251026;2;
251029;2;
251030;2;
251031;2;
251028;2;
251033;2;
251034;2;
251035;2;
251037;2;
251036;2;
251038;2;
251039;2;
251040;2;
251010;2;
10310;2;
10812;2;
10810;2;
10811;2;
94181;2;
10802;2;
10100;2;
10102;2;
211112;2;
10314;2;
10302;2;
10311;2;
10317;2;
10323;2;
10329;2;
10420;2;
10421;2;
10501;2;
10814;2;
11203;2;
261083;2;
261084;2;
261085;2;
261043;2;
261093;2;
11305;2;
261094;2;
261048;2;
261095;2;
261049;2;
261096;2;
261055;2;
261046;2;
261047;2;
261050;2;
261098;2;
251004;2;
10318;2;
11304;2;
91549;2;
10313;2;
10308;2;
10319;2;
10328;2;
10422;2;
10901;2;
11204;2;
11306;2;
261086;2;
261087;2;
261088;2;
261045;2;
261097;2;
251016;2;
10801;2;
10104;2;
10105;2;
20101;2;
20108;2;
10809;2;
20105;2;
20106;2;
10426;2;
10502;2;
10503;2;
10618;2;
10612;2;
10615;2;
10613;2;
10620;2;
10616;2;
10611;2;
10614;2;
10608;2;
10609;2;
10610;2;
10621;2;
10619;2;
10604;2;
10622;2;
10601;2;
10602;2;
10603;2;
261034;2;
261035;2;
261040;2;
261037;2;
261038;2;
261041;2;
261042;2;
261039;2;
261036;2;
261015;2;
261003;2;
261004;2;
261009;2;
261007;2;
261008;2;
261012;2;
261011;2;
261001;2;
261002;2;
261010;2;
261013;2;
261016;2;
261006;2;
261005;2;
261014;2;
261018;2;
261020;2;
261022;2;
261017;2;
261024;2;
261023;2;
261025;2;
261019;2;
261026;2;
261028;2;
261032;2;
261027;2;
261031;2;
261030;2;
261029;2;
261051;2;
221004;3;
221002;3;
221001;3;
221003;3;
251001;3;
251002;3;
211114;3;
211113;3;
10203;3;
10206;3;
10201;3;
10204;3;
10202;3;
10205;3;
10315;3;
10307;3;
10306;3;
10309;3;
10322;3;
10320;3;
10321;3;
10324;3;
10325;3;
10327;3;
10316;3;
10312;3;
10418;3;
10409;3;
10425;3;
10413;3;
10414;3;
10417;3;
10803;3;
10804;3;
10902;3;
10903;3;
10904;3;
11005;3;
11004;3;
11201;3;
11202;3;
11302;3;
11303;3;
11301;3;
11307;3;
20102;3;
20103;3;
20104;3;
99913;3;
251017;3;
251018;3;
251019;3;
251020;3;
251021;3;
251022;3;
251023;3;
251024;3;
251025;3;
251027;3;
251026;3;
251029;3;
251030;3;
251031;3;
251028;3;
251033;3;
251034;3;
251035;3;
251037;3;
251036;3;
251038;3;
251039;3;
251040;3;
251010;3;
10326;3;
10410;3;
10805;3;
10807;3;
10813;3;
11101;3;
11102;3;
271012;3;
271007;3;
10812;3;
10810;3;
10811;3;
94181;3;
10408;3;
10802;3;
10505;3;
10100;3;
10102;3;
211112;3;
10314;3;
10302;3;
10311;3;
10317;3;
10323;3;
10329;3;
10420;3;
10421;3;
10501;3;
10814;3;
11203;3;
261083;3;
261084;3;
261085;3;
261043;3;
261093;3;
271009;3;
11305;3;
261094;3;
261048;3;
261095;3;
261049;3;
261096;3;
261055;3;
261046;3;
261047;3;
261050;3;
261098;3;
251004;3;
10401;3;
10402;3;
10415;3;
271008;3;
271005;3;
271004;3;
271006;3;
99509;3;
10318;3;
11304;3;
91549;3;
10806;3;
10808;3;
10313;3;
10308;3;
10319;3;
10328;3;
10422;3;
10901;3;
11204;3;
11306;3;
261086;3;
261087;3;
261088;3;
261045;3;
261097;3;
251016;3;
10304;3;
10403;3;
10407;3;
10412;3;
10416;3;
10801;3;
10504;3;
10104;3;
10105;3;
99903;3;
20101;3;
20108;3;
10809;3;
20105;3;
20106;3;
10426;3;
10502;3;
10503;3;
10618;3;
10612;3;
10615;3;
10613;3;
10620;3;
10616;3;
10611;3;
10614;3;
10608;3;
10609;3;
10610;3;
10621;3;
10619;3;
10604;3;
10622;3;
10601;3;
10602;3;
10603;3;
10617;3;
10623;3;
10607;3;
20107;3;
261034;3;
261035;3;
261040;3;
261037;3;
261038;3;
261041;3;
261042;3;
261039;3;
261036;3;
261015;3;
261003;3;
261004;3;
261009;3;
261007;3;
261008;3;
261012;3;
261011;3;
261001;3;
261002;3;
261010;3;
261013;3;
261016;3;
261006;3;
261005;3;
261014;3;
261018;3;
261020;3;
261022;3;
261017;3;
261024;3;
261023;3;
261025;3;
261019;3;
261026;3;
261028;3;
261032;3;
261027;3;
261031;3;
261030;3;
261029;3;
261051;3;
15184;3;
99904;3;
221004;4;
221002;4;
221001;4;
221003;4;
251001;4;
251002;4;
211114;4;
211113;4;
10203;4;
10206;4;
10201;4;
10204;4;
10202;4;
10205;4;
10315;4;
10307;4;
10306;4;
10309;4;
10322;4;
10320;4;
10321;4;
10324;4;
10325;4;
10327;4;
10316;4;
10312;4;
10418;4;
10409;4;
10425;4;
10413;4;
10414;4;
10417;4;
10803;4;
10804;4;
10902;4;
10903;4;
10904;4;
11005;4;
11004;4;
11201;4;
11202;4;
11302;4;
11303;4;
11301;4;
11307;4;
20102;4;
20103;4;
20104;4;
99913;4;
251017;4;
251018;4;
251019;4;
251020;4;
251021;4;
251022;4;
251023;4;
251024;4;
251025;4;
251027;4;
251026;4;
251029;4;
251030;4;
251031;4;
251028;4;
251033;4;
251034;4;
251035;4;
251037;4;
251036;4;
251038;4;
251039;4;
251040;4;
251010;4;
10326;4;
10410;4;
10805;4;
10807;4;
10813;4;
11101;4;
11102;4;
271012;4;
271007;4;
10310;4;
10411;4;
251032;4;
251007;4;
10812;4;
10810;4;
10811;4;
94181;4;
10408;4;
10802;4;
10505;4;
10100;4;
10102;4;
211112;4;
10314;4;
10302;4;
10311;4;
10317;4;
10323;4;
10329;4;
10420;4;
10421;4;
10423;4;
10501;4;
10814;4;
11203;4;
261083;4;
261084;4;
261085;4;
261043;4;
261093;4;
271009;4;
251003;4;
11305;4;
261094;4;
261048;4;
261095;4;
261049;4;
261096;4;
261055;4;
261046;4;
261047;4;
261050;4;
261098;4;
251004;4;
10401;4;
10402;4;
10415;4;
271008;4;
271005;4;
271004;4;
271006;4;
251006;4;
251005;4;
251009;4;
99509;4;
10318;4;
11304;4;
91549;4;
10806;4;
10808;4;
10313;4;
10308;4;
10319;4;
10328;4;
10422;4;
10901;4;
11204;4;
11306;4;
261086;4;
261087;4;
261088;4;
261045;4;
261097;4;
251016;4;
10304;4;
10403;4;
10407;4;
10412;4;
10416;4;
10103;4;
10305;4;
10404;4;
10405;4;
10406;4;
10801;4;
10504;4;
251057;4;
251089;4;
261091;4;
261082;4;
251092;4;
251086;4;
