competencia;vencimento;data_pagamento;valor_original;valor_pago;id_cliente
2017/03;22/03/2017;22/03/2017;116,91;129,06;1007590090
2016/10;10/10/2016;10/10/2016;89,9;89,9;1007590090
2017/05;10/05/2017;28/04/2017;129,9;129,9;1007590090
2016/12;10/12/2016;02/12/2016;89,9;89,9;1007590090
2016/11;10/11/2016;10/11/2016;89,9;89,9;1007590090
2017/07;10/07/2017;04/07/2017;129,9;129,9;1007590090
2017/01;10/01/2017;05/01/2017;129,9;129,9;1007590090
2017/04;22/04/2017;22/04/2017;129,9;143,4;1007590090
2017/08;10/08/2017;10/08/2017;129,9;129,9;1007590090
2016/11;25/11/2016;23/12/2016;89,9;99,73;1007600079
2016/10;25/10/2016;23/12/2016;89,9;100,66;1007600079
2017/01;25/01/2017;27/01/2017;129,9;142,97;1007620002
2016/11;25/11/2016;29/11/2016;129,9;143,05;1007620002
2017/05;25/05/2017;30/05/2017;129,9;143,08;1007620002
2017/04;25/04/2017;27/04/2017;129,9;142,96;1007620002
2017/03;25/03/2017;27/03/2017;129,9;129,9;1007620002
2016/12;25/12/2016;26/12/2016;129,9;129,9;1007620002
2016/10;25/10/2016;07/11/2016;129,9;143,41;1007620002
2017/02;25/02/2017;01/03/2017;129,9;129,9;1007620002
2017/06;25/06/2017;26/06/2017;129,9;129,9;1007620002
2017/07;25/07/2017;14/07/2017;129,9;129,9;1007620002
2017/08;21/08/2017;18/08/2017;129,9;129,9;1007620002
2017/07;25/07/2017;07/07/2017;89,9;89,9;1007660055
2016/11;25/11/2016;25/11/2016;89,9;89,9;1007660055
2017/05;25/05/2017;22/05/2017;89,9;89,9;1007660055
2017/03;25/03/2017;14/03/2017;89,9;89,9;1007660055
2017/04;25/04/2017;05/04/2017;89,9;89,9;1007660055
2016/10;25/10/2016;25/10/2016;89,9;89,9;1007660055
2016/12;25/12/2016;23/12/2016;89,9;89,9;1007660055
2017/02;25/02/2017;24/02/2017;89,9;89,9;1007660055
2017/01;25/01/2017;25/01/2017;89,9;89,9;1007660055
2017/06;25/06/2017;23/06/2017;89,9;89,9;1007660055
2017/08;10/08/2017;04/08/2017;106,23;106,23;1007660055
2017/06;10/06/2017;12/06/2017;239,9;239,9;1007680081
2017/02;10/02/2017;10/02/2017;239,9;239,9;1007680081
2017/03;10/03/2017;10/03/2017;239,9;239,9;1007680081
2016/10;18/10/2016;18/10/2016;129,9;129,9;1007680081
2017/05;10/05/2017;02/05/2017;239,9;239,9;1007680081
2017/07;10/07/2017;10/07/2017;239,9;239,9;1007680081
2017/04;10/04/2017;10/04/2017;239,9;239,9;1007680081
2016/12;10/12/2016;12/12/2016;239,9;239,9;1007680081
2016/11;10/11/2016;10/11/2016;239,9;239,9;1007680081
2017/01;10/01/2017;10/01/2017;239,9;239,9;1007680081
2017/08;10/08/2017;09/08/2017;239,9;239,9;1007680081
2017/02;16/02/2017;15/02/2017;99,04;99,04;1007690043
2016/10;10/10/2016;10/10/2016;89,9;89,9;1007690043
2016/12;10/12/2016;14/12/2016;89,9;99,01;1007690043
